FSR,Pressure
268,0.0710964
288,0.07642552
293,0.077758311
304,0.080691169
304,0.080691169
313,0.083091517
315,0.083625017
318,0.084425329
324,0.086026174
1897,0.516127623
1939,0.527903205
1999,0.54475247
2040,0.556284449
2048,0.558536327
2057,0.56107037
2059,0.561633588
2067,0.563886815
2084,0.568676809
3941,1.107832481
3965,1.115013443
3985,1.121001855
4005,1.126994161
4016,1.13029159
4023,1.132390568
4042,1.138090202
4043,1.138390281
4064,1.144694181
7274,2.161727895
7275,2.16206219
7282,2.164402575
7282,2.164402575
7285,2.16540577
7333,2.181470947
7353,2.188172595
7436,2.216033736
7511,2.241278018
10179,3.183799331
10222,3.199734398
10237,3.205298973
10259,3.213465812
10301,3.229075115
10321,3.236516463
10378,3.25775391
10391,3.262603687
10440,3.280904185
13110,4.329812475
13126,4.336420203
13127,4.33683332
13131,4.338485945
13166,4.352957187
13170,4.354612275
13213,4.372420452
13241,4.384032218
13273,4.397318043
