Brightness,Reference_Time,Input_Force,FSR_Force,Pressure,FSR_mv,FSR
131.3323323,135343,0,0.05094224,0.070563667,13.39416504,266
131.6826827,135336,0,0.05248077,0.072694793,13.79699707,274
132.0534535,135340,0,0.052673113,0.07296122,13.84735107,275
132.6906907,135341,0,0.056328745,0.078024893,14.80407715,294
133.0164164,135339,0,0.058253618,0.080691169,15.30761719,304
133.3148148,135337,0,0.05960138,0.082558049,15.66009521,311
133.4424424,135344,0,0.060371659,0.083625017,15.86151123,315
134.028028,135338,0,0.064417178,0.089228748,16.91894531,336
134.3553554,135342,0,0.064995322,0.090029576,17.07000732,339
135.065966,135353,0.49,0.377668438,0.523135025,96.78039551,1922
135.4084084,135350,0.49,0.378883159,0.524817621,97.08251953,1928
136.0883884,135349,0.49,0.388203644,0.537728077,99.39880371,1974
136.4274274,135348,0.49,0.392260237,0.543347149,100.4058838,1994
137.0706707,135351,0.49,0.403835552,0.559380928,103.276062,2051
138.6148148,135346,0.49,0.405055215,0.56107037,103.578186,2057
140.2572573,135354,0.49,0.406275109,0.56276013,103.8803101,2063
140.6016016,135347,0.49,0.407901993,0.565013641,104.2831421,2071
140.9203203,135352,0.49,0.410139629,0.568113147,104.8370361,2082
187.0156156,135363,0.98,0.799564907,1.107533395,198.3947754,3940
187.2242242,135361,0.98,0.813181545,1.126394755,201.5670776,4003
187.8738739,135357,0.98,0.815345481,1.129392174,202.0706177,4013
188.0556557,135364,0.98,0.816211252,1.130591415,202.2720337,4017
188.3813814,135356,0.98,0.816860654,1.131490947,202.4230957,4020
189.1011011,135358,0.98,0.817077136,1.131790811,202.4734497,4021
189.8258258,135359,0.98,0.821624874,1.138090202,203.5308838,4042
190.4872873,135360,0.98,0.826609295,1.144994474,204.6890259,4065
191.8758759,135362,0.98,0.827259712,1.145895412,204.8400879,4068
202.2085085,135408,1.96,1.564243652,2.166743523,367.0303345,7289
202.2672673,135412,1.96,1.57076606,2.175778167,368.3898926,7316
202.4744745,135406,1.96,1.57366685,2.179796255,368.9941406,7328
203.3103103,135409,1.96,1.574634046,2.181135986,369.1955566,7332
204.3633634,135414,1.96,1.581166097,2.190183987,370.5551147,7359
205.2272272,135410,1.96,1.597644083,2.213008801,373.979187,7427
205.8098098,135413,1.96,1.599827883,2.216033736,374.432373,7436
203.976977,135407,1.96,1.610270941,2.230499147,376.5975952,7479
204.6766767,135411,1.96,1.615863115,2.238245259,377.7557373,7502
214.8329329,135424,2.94,2.296886007,3.181577801,512.2512817,10173
215.2382382,135416,2.94,2.303035779,3.190096282,513.4094238,10196
215.8318318,135423,2.94,2.320175121,3.213837186,516.6320801,10260
216.955956,135420,2.94,2.336548039,3.236516463,519.7036743,10321
217.4964965,135421,2.94,2.357536681,3.265589302,523.6312866,10399
217.5095095,135417,2.94,2.358075633,3.266335841,523.7319946,10401
217.9079079,135419,2.94,2.358614623,3.267082434,523.8327026,10403
218.019019,135422,2.94,2.359692721,3.268575783,524.0341187,10407
218.6156156,135418,2.94,2.362658297,3.27268361,524.5880127,10418
224.7317317,135432,3.92,3.130008395,4.335594016,660.8459473,13124
224.8098098,135430,3.92,3.137168817,4.345512419,662.0544434,13148
224.9145145,135431,3.92,3.145232138,4.35668149,663.4140015,13175
225.5255255,135434,3.92,3.160485567,4.377810083,665.9820557,13226
225.9489489,135428,3.92,3.172469868,4.394410379,667.9962158,13266
226.3193193,135433,3.92,3.174569007,4.397318043,668.3486938,13273
226.958959,135429,3.92,3.176068736,4.399395423,668.6004639,13278
227.7817818,135427,3.92,3.177568752,4.4014732,668.8522339,13283
227.9229229,135426,3.92,3.180269505,4.405214202,669.3054199,13292
